Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
21.245,-5.83050215,-0.74025111,104.58938532,0.43541846,0.95376623,-4.51840696,30.28651815,-12.43449688,-19.42756341,-13.68440803,10.22499198,4.26906086,0,-20.92737351,8.49639002,4.98297533,-3.74264251,12.00366592,-1.27532562,0,0,0,0
21.25,-5.83177757,-0.70669183,104.9468176,0.43402324,0.95187117,-4.52821689,30.33117002,-12.5271366,-19.59666197,-13.19667196,10.03421706,4.42159679,0,-21.43091479,8.22462983,5.2736573,-4.0958504,12.09746649,-0.97284765,0,0,0,0
21.255,-5.84961506,-0.63693235,105.27266256,0.43259691,0.95001294,-4.53805428,30.3878579,-12.67578889,-19.91147901,-12.97413656,9.89156477,4.85599279,0,-21.9053844,7.96112929,5.33902249,-4.56931679,12.2040772,-0.34433048,0,0,0,0
21.26,-5.80819615,-0.60478916,105.58594267,0.43122839,0.94814973,-4.54793146,30.46665582,-12.73974888,-20.002368,-12.84135883,9.70213529,4.87398344,0,-22.27316199,7.64832202,5.41806077,-5.12705264,12.29966827,0.23044452,0,0,0,0
21.265,-5.74479296,-0.5993974,105.87628392,0.42987992,0.94628121,-4.55782933,30.58757727,-12.78549244,-19.99909236,-12.87255602,9.50637446,4.73323871,0,-22.55842319,7.33011313,5.52620477,-5.7651414,12.35505603,0.73110771,0,0,0,0
21.27,-5.65511293,-0.59471479,106.14160742,0.42855946,0.94444443,-4.56777854,30.71598771,-12.80094575,-19.9244718,-13.05358238,9.30646888,4.47082889,0,-22.79807357,6.99614634,5.65561247,-6.46350783,12.35795892,1.16888991,0,0,0,0
21.275,-5.52220347,-0.59663776,106.39127363,0.42725554,0.94264302,-4.57778902,30.85974007,-12.79019832,-19.89484724,-13.38850704,9.0900187,4.22706156,0,-22.98794615,6.63589662,5.88072889,-7.21222384,12.29267063,1.41001269,0,0,0,0
21.28,-5.39517548,-0.61083632,106.58387547,0.42603341,0.94085955,-4.58781255,31.02290642,-12.72744688,-19.53527082,-13.82873749,8.83268903,3.55183524,0,-23.08642544,6.2938945,5.84694892,-8.08715868,12.20168698,2.00684301,0,0,0,0
21.285,-5.21702149,-0.62676398,106.76706787,0.42484154,0.93913109,-4.59790746,31.19218537,-12.63092302,-19.26248089,-14.40158986,8.54744581,2.95268605,0,-23.12637672,5.91178519,5.84368462,-9.03041178,12.04692559,2.48208942,0,0,0,0
21.29,-5.0158307,-0.6539425,106.91549731,0.42369861,0.93744477,-4.60803546,31.38148393,-12.49572432,-18.91492257,-15.08304165,8.20967085,2.24632685,0,-23.09696569,5.52901256,5.82035148,-10.05335618,11.807417,2.92454423,0,0,0,0
21.295,-4.7862821,-0.6923536,107.03564123,0.42260345,0.93581048,-4.61820303,31.58815071,-12.31960081,-18.51749373,-15.86133251,7.82199729,1.46870262,0,-22.99318886,5.13570607,5.74553652,-11.16014997,11.48712837,3.37172618,0,0,0,0
21.3,-4.51115711,-0.73877473,107.12495977,0.42156516,0.93423337,-4.62841416,31.80892644,-12.08646251,-18.11025929,-16.71892994,7.38030778,0.68155536,0,-22.80174647,4.71032824,5.55457275,-12.36908968,11.08955639,3.88855582,0,0,0,0
21.305,-4.24604264,-0.80007924,107.17642492,0.42056377,0.93270748,-4.63861984,32.06249917,-11.841364,-17.60485128,-17.67476139,6.92653331,-0.1836856,0,-22.55227776,4.32774816,5.40699078,-13.6439589,10.56757864,4.26167613,0,0,0,0
21.31,-3.93381366,-0.85573196,107.20608759,0.41961359,0.93127932,-4.64885798,32.31417028,-11.54161184,-17.14798624,-18.68812103,6.40129795,-1.01996157,0,-22.23133878,3.89917055,5.13239281,-15.00808108,9.96110676,4.73730747,0,0,0,0
