Header,HeelStrike,ToeOff
14.42,3.18725099601594,14.3899895724713
14.425,3.58565737051793,14.4942648592284
14.43,3.98406374501992,14.5985401459854
14.435,4.38247011952191,14.7028154327424
14.44,4.7808764940239,14.8070907194995
14.445,5.1792828685259,14.9113660062565
14.45,5.57768924302789,15.0156412930136
14.455,5.97609561752988,15.1199165797706
14.46,6.37450199203187,15.2241918665276
14.465,6.77290836653386,15.3284671532847
14.47,7.17131474103586,15.4327424400417
14.475,7.56972111553785,15.5370177267987
14.48,7.96812749003984,15.6412930135558
14.485,8.36653386454183,15.7455683003128
14.49,8.76494023904382,15.8498435870699
14.495,9.16334661354582,15.9541188738269
14.5,9.56175298804781,16.0583941605839
14.505,9.9601593625498,16.162669447341
14.51,10.3585657370518,16.266944734098
14.515,10.7569721115538,16.3712200208551
14.52,11.1553784860558,16.4754953076121
14.525,11.5537848605578,16.5797705943691
14.53,11.9521912350598,16.6840458811262
14.535,12.3505976095618,16.7883211678832
14.54,12.7490039840637,16.8925964546403
14.545,13.1474103585657,16.9968717413973
14.55,13.5458167330677,17.1011470281543
14.555,13.9442231075697,17.2054223149114
14.56,14.3426294820717,17.3096976016684
14.565,14.7410358565737,17.4139728884254
14.57,15.1394422310757,17.5182481751825
14.575,15.5378486055777,17.6225234619395
14.58,15.9362549800797,17.7267987486966
14.585,16.3346613545817,17.8310740354536
14.59,16.7330677290837,17.9353493222106
14.595,17.1314741035857,18.0396246089677
14.6,17.5298804780876,18.1438998957247
14.605,17.9282868525896,18.2481751824818
14.61,18.3266932270916,18.3524504692388
14.615,18.7250996015936,18.4567257559958
14.62,19.1235059760956,18.5610010427529
14.625,19.5219123505976,18.6652763295099
14.63,19.9203187250996,18.7695516162669
14.635,20.3187250996016,18.873826903024
14.64,20.7171314741036,18.978102189781
14.645,21.1155378486056,19.0823774765381
14.65,21.5139442231076,19.1866527632951
14.655,21.9123505976096,19.2909280500521
14.66,22.3107569721116,19.3952033368092
14.665,22.7091633466135,19.4994786235662
14.67,23.1075697211155,19.6037539103233
14.675,23.5059760956175,19.7080291970803
14.68,23.9043824701195,19.8123044838373
14.685,24.3027888446215,19.9165797705944
14.69,24.7011952191235,20.0208550573514
14.695,25.0996015936255,20.1251303441084
14.7,25.4980079681275,20.2294056308655
14.705,25.8964143426295,20.3336809176225
14.71,26.2948207171315,20.4379562043796
14.715,26.6932270916335,20.5422314911366
14.72,27.0916334661355,20.6465067778936
14.725,27.4900398406375,20.7507820646507
14.73,27.8884462151394,20.8550573514077
14.735,28.2868525896414,20.9593326381648
14.74,28.6852589641434,21.0636079249218
14.745,29.0836653386454,21.1678832116788
14.75,29.4820717131474,21.2721584984359
14.755,29.8804780876494,21.3764337851929
14.76,30.2788844621514,21.4807090719499
14.765,30.6772908366534,21.584984358707
14.77,31.0756972111554,21.689259645464
14.775,31.4741035856574,21.7935349322211
14.78,31.8725099601594,21.8978102189781
14.785,32.2709163346614,22.0020855057351
14.79,32.6693227091633,22.1063607924922
14.795,33.0677290836653,22.2106360792492
14.8,33.4661354581673,22.3149113660063
14.805,33.8645418326693,22.4191866527633
14.81,34.2629482071713,22.5234619395203
14.815,34.6613545816733,22.6277372262774
14.82,35.0597609561753,22.7320125130344
14.825,35.4581673306773,22.8362877997914
14.83,35.8565737051793,22.9405630865485
14.835,36.2549800796813,23.0448383733055
14.84,36.6533864541833,23.1491136600626
14.845,37.0517928286853,23.2533889468196
14.85,37.4501992031873,23.3576642335766
14.855,37.8486055776892,23.4619395203337
14.86,38.2470119521912,23.5662148070907
14.865,38.6454183266932,23.6704900938478
14.87,39.0438247011952,23.7747653806048
14.875,39.4422310756972,23.8790406673618
14.88,39.8406374501992,23.9833159541189
14.885,40.2390438247012,24.0875912408759
14.89,40.6374501992032,24.1918665276329
14.895,41.0358565737052,24.29614181439
14.9,41.4342629482072,24.400417101147
14.905,41.8326693227092,24.5046923879041
14.91,42.2310756972112,24.6089676746611
14.915,42.6294820717131,24.7132429614181
14.92,43.0278884462151,24.8175182481752
14.925,43.4262948207171,24.9217935349322
14.93,43.8247011952191,25.0260688216893
14.935,44.2231075697211,25.1303441084463
14.94,44.6215139442231,25.2346193952033
14.945,45.0199203187251,25.3388946819604
14.95,45.4183266932271,25.4431699687174
14.955,45.8167330677291,25.5474452554745
14.96,46.2151394422311,25.6517205422315
14.965,46.6135458167331,25.7559958289885
14.97,47.0119521912351,25.8602711157456
14.975,47.410358565737,25.9645464025026
14.98,47.808764940239,26.0688216892596
14.985,48.207171314741,26.1730969760167
14.99,48.605577689243,26.2773722627737
14.995,49.003984063745,26.3816475495308
15,49.402390438247,26.4859228362878
15.005,49.800796812749,26.5901981230448
15.01,50.199203187251,26.6944734098019
15.015,50.597609561753,26.7987486965589
15.02,50.996015936255,26.903023983316
15.025,51.394422310757,27.007299270073
15.03,51.792828685259,27.11157455683
15.035,52.191235059761,27.2158498435871
15.04,52.589641434263,27.3201251303441
15.045,52.9880478087649,27.4244004171011
15.05,53.3864541832669,27.5286757038582
15.055,53.7848605577689,27.6329509906152
15.06,54.1832669322709,27.7372262773723
15.065,54.5816733067729,27.8415015641293
15.07,54.9800796812749,27.9457768508863
15.075,55.3784860557769,28.0500521376434
15.08,55.7768924302789,28.1543274244004
15.085,56.1752988047809,28.2586027111575
15.09,56.5737051792829,28.3628779979145
15.095,56.9721115537849,28.4671532846715
15.1,57.3705179282869,28.5714285714286
15.105,57.7689243027888,28.6757038581856
15.11,58.1673306772908,28.7799791449426
15.115,58.5657370517928,28.8842544316997
