Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
11.42,0.00,0.03,-4.76,0.00,-0.13,-1.93,
11.43,0.00,0.03,-4.76,0.00,-0.13,-1.93,
11.44,0.00,0.03,-4.76,0.00,-0.13,-1.93,
11.45,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.46,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.47,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.48,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.49,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.50,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.51,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.52,0.00,0.02,-4.76,0.00,-0.13,-1.93,
11.53,0.00,0.02,-4.76,0.00,-0.13,-1.92,
11.54,0.00,0.02,-4.76,0.00,-0.13,-1.92,
11.55,0.00,0.02,-4.76,0.00,-0.13,-1.92,
11.56,0.00,0.02,-4.76,0.00,-0.13,-1.92,
11.57,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.58,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.59,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.60,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.61,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.62,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.63,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.64,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.65,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.66,0.00,0.03,-4.76,0.00,-0.13,-1.92,
11.67,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.68,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.69,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.70,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.71,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.72,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.73,0.00,0.03,-4.75,0.00,-0.13,-1.92,
